time,sensor_a,sensor_b,sensor_c,failure
0,0.0,0.0,0.0,0
1,0.19364120611105856,0.07616021322681585,-0.017396996359957853,0
2,-0.6412233717748164,0.21042792501501403,-0.5542293359422271,0
3,-0.24580414120391642,0.3762217320639557,-0.16678423740712847,0
4,0.07338677604093921,0.39793301545151294,-0.4085592214015189,0
5,-0.04289143753600205,0.838213047102427,-0.25368599115470786,0
6,-0.11758779637963138,0.40022610019419314,-0.4302290060227638,0
7,-0.21077251949817502,0.4019694342051029,-0.27289793457479505,0
8,-0.30962777990446294,0.0976508552919777,-0.2096403759137005,0
9,-0.7429305465982499,0.09443238188546443,0.1934171841695114,0
10,-0.9221983885983088,0.057770149558941906,0.4082211897505961,0
11,-1.1589706253828465,-0.5223388168181792,-0.6525828980707292,0
12,-0.38746585720454574,0.304866152006252,-0.8455283778542677,0
13,-0.1414207483753822,0.23937809953497377,-0.4810772936949802,0
14,-0.8054444946445027,0.5453193105347852,-0.40775633348597595,0
15,-0.6041384658261891,0.4540119493268334,-0.04553588454572666,0
16,-0.12004367363229096,-0.05023830166637705,-0.5471982877657363,0
17,0.25725821065872606,-0.5057411127982427,-0.1686390295579276,0
18,0.30603875562540084,-0.9600172235214595,-0.0774230942292638,0
19,-0.32711284649063005,-0.6483718767715927,0.28787214195646993,0
20,0.03716759576416895,-0.4659020751340109,0.18620467347457814,0
21,0.0034209389022396494,-0.10023029026854641,0.12921765304553853,0
22,-0.3407601165530113,0.33578930737770823,0.3259530477732803,0
23,0.49347372229175085,0.21214533373240071,-0.46212494121149156,0
24,-0.07220800033847319,-1.185273769839494,-0.1847525548854535,0
25,0.10684345235999512,-1.234449439954222,-0.46257946895919216,1
26,0.3069131358238776,-1.1699506910105948,0.320797502725908,0
27,0.11907973394584581,-0.9597059774495513,0.6621206550930961,0
28,-0.5022906620086193,-0.8280617673625366,0.20082891368987524,0
29,-0.04416213045089479,-1.0082422522002705,0.463382099733309,0
30,0.17394894433602176,-0.21780377148383645,0.06683789138157203,0
